frame_rate, 46.875
other_frame_rate, ['46.875 FPS (1024 SPF)']
frame_count, 470
compression_mode, Lossy
other_compression_mode, ['Lossy']
stream_size, 160766
other_stream_size, ['157 KiB (3%)', '157 KiB', '157 KiB', '157 KiB', '157.0 KiB', '157 KiB (3%)']
proportion_of_this_stream, 0.02714
default, Yes
other_default, ['Yes']
alternate_group, 1
other_alternate_group, ['1']
